dim_1,dim_2,dim_3,dim_4,value
21,21,7,25,1.0
21,21,7,26,1.0
21,21,7,27,1.0
21,21,7,28,1.0
21,21,7,29,1.0
21,21,7,30,1.0
21,21,7,31,1.0
21,21,7,32,1.0
21,21,7,33,1.0
21,21,7,34,1.0
21,21,7,35,1.0
21,21,7,36,1.0
21,21,7,37,1.0
21,21,7,38,1.0
21,21,7,39,1.0
21,21,7,40,1.0
21,21,7,41,1.0
21,21,7,42,1.0
21,21,7,43,1.0
21,21,7,44,1.0
21,21,7,45,1.0
21,21,7,46,1.0
21,21,7,47,1.0
21,21,7,48,1.0
21,21,7,49,1.0
21,21,7,50,1.0
21,21,7,51,1.0
21,21,7,52,1.0
21,21,7,53,1.0
21,21,7,54,1.0
21,21,7,55,1.0
21,21,7,56,1.0
21,21,7,57,1.0
21,21,7,58,1.0
21,21,7,59,1.0
21,21,7,60,1.0
21,21,8,1,1.0
21,21,8,2,1.0
21,21,8,3,1.0
21,21,8,4,1.0
21,21,8,5,1.0
21,21,8,6,1.0
21,21,8,7,1.0
21,21,8,8,1.0
21,21,8,9,1.0
21,21,8,10,1.0
21,21,8,11,1.0
21,21,8,12,1.0
21,21,8,13,1.0
21,21,8,14,1.0
21,21,8,15,1.0
21,21,8,16,1.0
21,21,8,17,1.0
21,21,8,18,1.0
21,21,8,19,1.0
21,21,8,20,1.0
21,21,8,21,1.0
21,21,8,22,1.0
21,21,8,23,1.0
21,21,8,24,1.0
21,21,8,25,1.0
21,21,8,26,1.0
21,21,8,27,1.0
21,21,8,28,1.0
21,21,8,29,1.0
21,21,8,30,1.0
21,21,8,31,1.0
21,21,8,32,1.0
21,21,8,33,1.0
21,21,8,34,1.0
21,21,8,35,1.0
21,21,8,36,1.0
21,21,8,37,1.0
21,21,8,38,1.0
21,21,8,39,1.0
21,21,8,40,1.0
21,21,8,41,1.0
21,21,8,42,1.0
21,21,8,43,1.0
21,21,8,44,1.0
21,21,8,45,1.0
21,21,8,46,1.0
21,21,8,47,1.0
21,21,8,48,1.0
21,21,8,49,1.0
21,21,8,50,1.0
21,21,8,51,1.0
21,21,8,52,1.0
21,21,8,53,1.0
21,21,8,54,1.0
21,21,8,55,1.0
21,21,8,56,1.0
21,21,8,57,1.0
21,21,8,58,1.0
21,21,8,59,1.0
21,21,8,60,1.0
21,21,9,1,1.0
21,21,9,2,1.0
21,21,9,3,1.0
21,21,9,4,1.0
21,21,9,5,1.0
21,21,9,6,1.0
21,21,9,7,1.0
21,21,9,8,1.0
21,21,9,9,1.0
21,21,9,10,1.0
21,21,9,11,1.0
21,21,9,12,1.0
21,21,9,13,1.0
21,21,9,14,1.0
21,21,9,15,1.0
21,21,9,16,1.0
21,21,9,17,1.0
21,21,9,18,1.0
21,21,9,19,1.0
21,21,9,20,1.0
21,21,9,21,1.0
21,21,9,22,1.0
21,21,9,23,1.0
21,21,9,24,1.0
21,21,9,25,1.0
21,21,9,26,1.0
21,21,9,27,1.0
21,21,9,28,1.0
21,21,9,29,1.0
21,21,9,30,1.0
21,21,9,31,1.0
21,21,9,32,1.0
21,21,9,33,1.0
21,21,9,34,1.0
21,21,9,35,1.0
21,21,9,36,1.0
21,21,9,37,1.0
21,21,9,38,1.0
21,21,9,39,1.0
21,21,9,40,1.0
21,21,9,41,1.0
21,21,9,42,1.0
21,21,9,43,1.0
21,21,9,44,1.0
21,21,9,45,1.0
21,21,9,46,1.0
21,21,9,47,1.0
21,21,9,48,1.0
21,21,9,49,1.0
21,21,9,50,1.0
21,21,9,51,1.0
21,21,9,52,1.0
21,21,9,53,1.0
21,21,9,54,1.0
21,21,9,55,1.0
21,21,9,56,1.0
21,21,9,57,1.0
21,21,9,58,1.0
21,21,9,59,1.0
21,21,9,60,1.0
21,21,10,1,1.0
21,21,10,2,1.0
21,21,10,3,1.0
21,21,10,4,1.0
21,21,10,5,1.0
21,21,10,6,1.0
21,21,10,7,1.0
21,21,10,8,1.0
21,21,10,9,1.0
21,21,10,10,1.0
21,21,10,11,1.0
21,21,10,12,1.0
21,21,10,13,1.0
21,21,10,14,1.0
21,21,10,15,1.0
21,21,10,16,1.0
21,21,10,17,1.0
21,21,10,18,1.0
21,21,10,19,1.0
21,21,10,20,1.0
21,21,10,21,1.0
21,21,10,22,1.0
21,21,10,23,1.0
21,21,10,24,1.0
21,21,10,25,1.0
21,21,10,26,1.0
21,21,10,27,1.0
21,21,10,28,1.0
21,21,10,29,1.0
21,21,10,30,1.0
21,21,10,31,1.0
21,21,10,32,1.0
21,21,10,33,1.0
21,21,10,34,1.0
21,21,10,35,1.0
21,21,10,36,1.0
21,21,10,37,1.0
21,21,10,38,1.0
21,21,10,39,1.0
21,21,10,40,1.0
21,21,10,41,1.0
21,21,10,42,1.0
21,21,10,43,1.0
21,21,10,44,1.0
21,21,10,45,1.0
21,21,10,46,1.0
21,21,10,47,1.0
21,21,10,48,1.0
21,21,10,49,1.0
21,21,10,50,1.0
