outload_key,num_samples,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11],avg_obj,count
16,4,0,1,0,0,0,1,3411232.4375,4
16,4,0,1,0,0,1,0,3506775.4375,4
16,4,0,1,1,0,0,0,3472966.8125,4
16,4,1,0,1,0,0,0,3536633.6875,4
16,6,0,1,0,0,0,1,3413681.33325,4
16,6,0,1,1,0,0,0,3420877.4584999997,4
17,2,0,1,0,0,0,1,3840485.8333333335,3
17,2,0,1,0,0,1,0,4010863.5,3
17,2,0,1,1,0,0,0,4125645.3333333335,3
17,4,0,1,0,0,0,1,3808267.78125,4
17,4,1,0,1,0,0,0,4022320.4375,4
17,6,0,1,0,0,0,1,3816165.7220000005,3
17,6,0,1,1,0,0,0,3821684.5553333336,3
18,2,0,1,0,0,0,1,3683681.5714285714,7
18,2,0,1,0,0,1,0,3781478.214285714,7
18,2,0,1,1,0,0,0,3853136.6428571427,7
18,4,0,1,0,0,0,1,3780382.0625,4
18,4,0,1,0,0,1,0,3748333.25,4
18,4,1,0,1,0,0,0,3863301.375,4
18,6,0,1,0,0,0,1,3630878.5556666665,3
18,6,0,1,1,0,0,0,3707381.5556666665,3
19,2,0,1,0,0,0,1,3492972.214285714,7
19,2,0,1,0,0,1,0,3606948.0714285714,7
19,2,0,1,1,0,0,0,3523793.5,7
19,4,0,1,0,0,0,1,3440575.8125,4
19,4,0,1,0,0,1,0,3461868.3125,4
19,6,0,1,0,0,0,1,3506286.0556666665,3
19,6,0,1,0,0,1,0,3559337.222333333,3
19,6,1,0,1,0,0,0,3650747.4996666666,3
20,2,0,1,0,0,0,1,3342247.3333333335,6
20,2,0,1,0,0,1,0,3435355.0833333335,6
20,2,0,1,1,0,0,0,3446465.5,6
20,4,0,1,0,0,0,1,3422172.1875,4
20,4,0,1,0,0,1,0,3460719.25,4
20,4,0,1,1,0,0,0,3455246.3125,4
20,6,0,1,0,0,0,1,3509403.8333333335,3
20,6,0,1,0,0,1,0,3341837.5,3
21,2,0,1,0,0,0,1,3676404.3333333335,9
21,2,0,1,0,0,1,0,3961720.722222222,9
21,4,0,1,0,0,0,1,3802171.4166666665,3
21,4,0,1,0,0,1,0,3933864.5833333335,3
21,4,0,1,1,0,0,0,3839951.5,3
21,6,0,1,0,0,0,1,3782868.0,3
21,6,0,1,0,0,1,0,3814194.0003333334,3
22,2,0,1,0,0,0,1,3576227.6666666665,6
22,2,0,1,0,0,1,0,3702409.9791666665,6
22,2,0,1,1,0,0,0,3686906.0833333335,6
22,4,0,1,0,0,0,1,3640973.6875,4
22,4,0,1,0,0,1,0,3706878.4375,4
