outload_key,num_samples,replication,wall_clock_time,elapsed_time,obj,term,is_fixed,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11]
3,2,2,122.9099114,271.2608135,3450759.5,optimal,FALSE,0,1,0,0,0,1
3,2,2,41.40574288,725.0057044,3559073.5,optimal,TRUE,0,1,1,0,0,0
3,2,3,129.5241086,405.4845512,3470882.5,optimal,FALSE,0,1,0,0,0,1
3,2,3,41.2737534,770.8569875,3708793.5,optimal,TRUE,0,1,1,0,0,0
3,2,4,83.70376229,493.8567359,3556423,optimal,FALSE,0,1,0,0,0,1
3,2,4,41.82349706,817.4474487,3898244,optimal,TRUE,0,1,1,0,0,0
3,2,5,88.95779228,587.5703938,3407109,optimal,FALSE,0,1,1,0,0,0
3,2,5,38.51989293,860.7241201,3771492.5,optimal,TRUE,0,1,0,0,0,1
3,2,6,84.51810813,950.0739195,3574494,optimal,FALSE,0,1,1,0,0,0
3,2,6,28.70776463,983.4420784,3583418,optimal,TRUE,0,1,0,0,0,1
3,2,7,67.53726959,1055.620915,3403346.5,optimal,FALSE,0,1,0,0,0,1
3,2,7,36.54942799,1096.997132,3606236.5,optimal,TRUE,0,1,1,0,0,0
3,2,8,74.06112528,1175.870787,3493017.5,optimal,FALSE,0,1,0,0,0,1
3,2,8,38.93945885,1219.559093,4097644.5,optimal,TRUE,0,1,1,0,0,0
3,4,0,255.8477023,264.6896091,3502826.25,optimal,FALSE,0,1,0,0,1,0
3,4,0,77.57269168,595.5877519,3648387.25,optimal,TRUE,0,1,0,0,0,1
3,4,0,85.28799367,1272.983194,3652590,optimal,TRUE,0,1,1,0,0,0
3,4,1,234.416692,508.5070586,3688442.25,optimal,FALSE,0,1,0,0,0,1
3,4,1,69.43726611,674.0746481,4044387.5,optimal,TRUE,0,1,0,0,1,0
3,4,1,68.90633273,1351.087476,3753973.25,optimal,TRUE,0,1,1,0,0,0
3,4,2,263.5453603,947.2819393,3739596.75,optimal,FALSE,0,1,0,0,0,1
3,4,2,63.99795437,1020.459536,3806516.25,optimal,TRUE,0,1,0,0,1,0
3,4,2,77.71341205,1437.954706,3889039.5,optimal,TRUE,0,1,1,0,0,0
3,4,3,149.1011245,1178.625617,3508777,optimal,FALSE,0,1,1,0,0,0
3,4,3,87.60476255,1534.725054,3649212.75,optimal,TRUE,0,1,0,0,0,1
3,4,3,54.94254756,1598.837717,3661112.5,optimal,TRUE,0,1,0,0,1,0
3,6,0,334.8246245,347.8524511,3509901.833,optimal,FALSE,0,1,0,0,0,1
3,6,0,94.70766473,774.5027149,3773125,optimal,TRUE,0,1,0,0,1,0
3,6,0,112.7026901,1335.08912,3656804.667,optimal,TRUE,0,1,1,0,0,0
3,6,1,304.6379468,666.3790288,3535195.833,optimal,FALSE,0,1,0,0,1,0
3,6,1,136.001482,924.1167138,3820305,optimal,TRUE,0,1,0,0,0,1
3,6,1,127.4854281,1475.904041,3778380.833,optimal,TRUE,0,1,1,0,0,0
3,6,2,270.9665377,1208.262968,3572978,optimal,FALSE,0,1,1,0,0,0
3,6,2,127.6287723,1617.540197,4046589.167,optimal,TRUE,0,1,0,0,0,1
3,6,2,89.8694458,1720.836593,3659560,optimal,TRUE,0,1,0,0,1,0
4,2,0,119.0871494,124.6956189,3555322.5,optimal,FALSE,0,1,0,0,1,0
4,2,0,43.38567901,648.1265931,3841428.5,optimal,TRUE,0,1,0,0,0,1
4,2,1,136.678118,266.1066163,3740887.5,optimal,FALSE,0,1,0,0,1,0
4,2,1,44.62718415,697.4133046,4207812,optimal,TRUE,0,1,0,0,0,1
4,2,2,112.6268885,383.6506691,3512715,optimal,FALSE,0,1,0,0,1,0
4,2,2,53.00331235,755.2200818,4181690,optimal,TRUE,0,1,0,0,0,1
4,2,3,129.3698974,517.7255793,3540642.5,optimal,FALSE,0,1,0,0,1,0
4,2,3,41.70228028,801.6821847,3545695,optimal,TRUE,0,1,0,0,0,1
4,2,4,77.42527294,599.862869,3418627,optimal,FALSE,0,1,0,0,0,1
4,2,4,32.91207933,839.335397,3630600,optimal,TRUE,0,1,0,0,1,0
4,2,5,80.21630716,924.3043282,3397854,optimal,FALSE,0,1,0,0,0,1
4,2,5,35.64642286,964.6721699,3602657.5,optimal,TRUE,0,1,0,0,1,0
4,2,6,115.0891061,1084.617697,3359353,optimal,FALSE,0,1,0,0,0,1
4,2,6,33.0459075,1122.41344,3384170,optimal,TRUE,0,1,0,0,1,0
4,2,7,108.0112257,1235.292429,3591081.5,optimal,FALSE,0,1,0,0,0,1
4,2,7,32.44052124,1272.772142,3861092.5,optimal,TRUE,0,1,0,0,1,0
4,4,0,227.5053821,236.453099,3526001.25,optimal,FALSE,0,1,0,0,1,0
4,4,0,87.15861225,581.1640995,3801814,optimal,TRUE,1,0,0,0,0,1
4,4,0,81.90073228,956.3323057,3655240.75,optimal,TRUE,0,1,0,0,0,1
4,4,1,238.6932485,484.5726178,3501537.75,optimal,FALSE,1,0,0,0,0,1
4,4,1,72.24815702,662.8438659,3814785,optimal,TRUE,0,1,0,0,1,0
4,4,1,63.7294333,1029.28215,3503857.25,optimal,TRUE,0,1,0,0,0,1
4,4,2,192.5708971,865.1048274,3673833.5,optimal,FALSE,0,1,0,0,0,1
4,4,2,76.1319716,1114.789345,4075986.25,optimal,TRUE,0,1,0,0,1,0
4,4,2,79.46779656,1204.014002,3777966,optimal,TRUE,1,0,0,0,0,1
4,6,0,349.1270609,362.0936265,3540871.833,optimal,FALSE,0,1,0,0,0,1
4,6,0,109.2169209,850.0949683,3848981.667,optimal,TRUE,0,1,0,0,1,0
4,6,1,350.6918426,726.8299527,3616514.167,optimal,FALSE,0,1,0,0,1,0
4,6,1,92.15992355,956.296067,3674822.5,optimal,TRUE,0,1,0,0,0,1
4,6,2,417.7580097,1388.096714,3495037.5,optimal,FALSE,0,1,0,0,1,0
4,6,2,124.5617118,1526.699832,3506169.333,optimal,TRUE,0,1,0,0,0,1
5,2,0,101.7571657,107.3006008,3562191,optimal,FALSE,0,1,0,0,0,1
5,2,0,46.43139482,313.6342146,3863010.5,optimal,TRUE,0,1,1,0,0,0
5,2,0,35.88996506,1126.288821,4041645,optimal,TRUE,0,1,0,0,1,0
5,2,1,90.93160081,203.0148835,3687137.5,optimal,FALSE,0,1,0,0,0,1
5,2,1,40.91540003,359.3157945,3815151,optimal,TRUE,0,1,1,0,0,0
5,2,1,33.34970355,1164.487033,3785042.5,optimal,TRUE,0,1,0,0,1,0
5,2,2,54.6390512,262.3554103,3667572.5,optimal,FALSE,0,1,1,0,0,0
5,2,2,40.46499181,404.7625191,4471865,optimal,TRUE,0,1,0,0,0,1
5,2,2,29.13212776,1198.353912,3995617.5,optimal,TRUE,0,1,0,0,1,0
5,2,3,115.4972479,524.7946632,3752976.5,optimal,FALSE,0,1,1,0,0,0
5,2,3,54.73891306,584.3287206,4585422,optimal,TRUE,0,1,0,0,0,1
5,2,3,28.13571572,1231.392335,3847122.5,optimal,TRUE,0,1,0,0,1,0
5,2,4,101.6101213,690.9157245,3710066,optimal,FALSE,0,1,0,0,0,1
5,2,4,47.51857901,743.1901097,3857227,optimal,TRUE,0,1,1,0,0,0
5,2,4,36.63211846,1272.8102,4317080,optimal,TRUE,0,1,0,0,1,0
5,2,5,155.9333432,903.876358,3744062,optimal,FALSE,0,1,0,0,0,1
5,2,5,35.8742485,944.5265012,3877443.5,optimal,TRUE,0,1,1,0,0,0
5,2,5,29.26112914,1306.796577,3800395,optimal,TRUE,0,1,0,0,1,0
5,2,6,136.3458052,1085.655674,3600900,optimal,FALSE,0,1,0,0,1,0
5,2,6,46.15613508,1357.719853,4000424,optimal,TRUE,0,1,1,0,0,0
5,2,6,32.82344627,1395.318178,3626632.5,optimal,TRUE,0,1,0,0,0,1
5,4,0,229.8874884,238.715591,3599043.75,optimal,FALSE,0,1,0,0,1,0
5,4,0,84.69461393,1293.12798,4082049.5,optimal,TRUE,1,0,1,0,0,0
5,4,1,273.5032508,521.955019,3705113.75,optimal,FALSE,0,1,0,0,1,0
5,4,1,83.1370542,1385.508405,4011951.5,optimal,TRUE,1,0,1,0,0,0
5,4,2,264.2340264,795.6561906,3653610,optimal,FALSE,0,1,0,0,1,0
5,4,2,85.72821307,1480.156523,3984893.5,optimal,TRUE,1,0,1,0,0,0
5,4,3,393.8482404,1199.000608,3851078.75,optimal,FALSE,1,0,1,0,0,0
5,4,3,73.05896902,1562.506827,3924970,optimal,TRUE,0,1,0,0,1,0
5,6,0,308.8164513,322.1520531,3733075,optimal,FALSE,0,1,0,0,0,1
5,6,1,452.989553,788.3602293,3694818.5,optimal,FALSE,0,1,0,0,0,1
5,6,2,399.472203,1201.944428,3823983.167,optimal,FALSE,0,1,0,0,0,1
6,2,0,95.08925223,100.6911464,3590808,optimal,FALSE,0,1,0,0,0,1
6,2,0,38.85428882,374.0644982,4219910,optimal,TRUE,0,1,0,0,1,0
6,2,0,39.60897827,577.0827031,4094881,optimal,TRUE,0,1,1,0,0,0
6,2,0,31.12738228,1122.049542,3929607,optimal,TRUE,1,0,0,1,0,0
6,2,1,114.0329642,219.5092874,3596446,optimal,FALSE,0,1,0,0,0,1
6,2,1,33.39191723,412.2347436,3766707.5,optimal,TRUE,0,1,0,0,1,0
6,2,1,38.29552031,620.1314948,3700931.5,optimal,TRUE,0,1,1,0,0,0
6,2,1,48.70350623,1175.592691,4442376.5,optimal,TRUE,1,0,0,1,0,0
6,2,2,106.2258115,330.4213846,3494477.5,optimal,FALSE,0,1,0,0,1,0
6,2,2,29.61843872,446.6991832,3586902.5,optimal,TRUE,0,1,0,0,0,1
6,2,2,46.76995039,671.7069557,3647967.5,optimal,TRUE,0,1,1,0,0,0
6,2,2,39.18639541,1219.548474,4069025.5,optimal,TRUE,1,0,0,1,0,0
6,2,3,81.06647348,532.6687782,3537349.5,optimal,FALSE,0,1,1,0,0,0
6,2,3,22.63637996,699.1160111,3552599,optimal,TRUE,0,1,0,0,0,1
6,2,3,42.34709692,746.2367799,4073842.5,optimal,TRUE,0,1,0,0,1,0
6,2,3,34.0384059,1258.370558,3932427.5,optimal,TRUE,1,0,0,1,0,0
6,2,4,96.14204693,847.2666838,3617850.5,optimal,FALSE,0,1,0,0,0,1
6,2,4,48.36057401,900.4132884,3715131,optimal,TRUE,0,1,1,0,0,0
6,2,4,40.54696846,945.7778525,3784292.5,optimal,TRUE,0,1,0,0,1,0
6,2,4,41.26605296,1304.559051,4382138.5,optimal,TRUE,1,0,0,1,0,0
6,2,5,135.3546278,1085.888871,3903951,optimal,FALSE,1,0,0,1,0,0
6,2,5,43.1448288,1352.477417,4168501,optimal,TRUE,0,1,1,0,0,0
6,2,5,40.83185911,1398.100635,4396697.5,optimal,TRUE,0,1,0,0,0,1
6,2,5,36.52420616,1439.398262,4036755,optimal,TRUE,0,1,0,0,1,0
6,4,0,216.4908807,225.5388634,3525406.25,optimal,FALSE,0,1,0,0,1,0
6,4,0,88.45569181,1229.474309,3927503.5,optimal,TRUE,0,1,0,0,0,1
6,4,1,211.5706673,446.5298972,3664906.25,optimal,FALSE,0,1,0,0,1,0
6,4,1,77.2747581,1316.135922,3844289.25,optimal,TRUE,0,1,0,0,0,1
6,4,2,245.1349323,701.2335243,3721945,optimal,FALSE,0,1,0,0,1,0
6,4,2,84.95217919,1410.214371,3934916.75,optimal,TRUE,0,1,0,0,0,1
6,4,3,255.4669089,966.1322391,3578497.5,optimal,FALSE,0,1,0,0,1,0
6,4,3,74.07240582,1494.118718,3693319.75,optimal,TRUE,0,1,0,0,0,1
6,4,4,156.6812174,1131.859356,3533453.75,optimal,FALSE,0,1,0,0,0,1
6,4,4,70.38507509,1573.389613,3682345,optimal,TRUE,0,1,0,0,1,0
6,6,0,377.6630776,390.9147871,3704065.833,optimal,FALSE,0,1,0,0,1,0
6,6,0,130.6730692,1207.128594,3910256.667,optimal,TRUE,0,1,0,0,0,1
6,6,1,278.5932381,683.6330829,3552570.833,optimal,FALSE,0,1,0,0,1,0
6,6,1,118.0689397,1339.162968,3779142.167,optimal,TRUE,0,1,0,0,0,1
6,6,2,364.8126705,1062.788644,3611557.667,optimal,FALSE,0,1,0,0,0,1
6,6,2,107.1949461,1459.983781,3750379.167,optimal,TRUE,0,1,0,0,1,0
7,2,0,70.94157243,76.37875628,3388497,optimal,FALSE,0,1,1,0,0,0
7,2,0,41.82902074,253.9771464,3890460.5,optimal,TRUE,0,1,0,0,0,1
7,2,0,24.22717571,447.8163321,3543665,optimal,TRUE,0,1,0,0,1,0
7,2,1,126.1436679,207.3427458,3075674.5,optimal,FALSE,0,1,0,0,0,1
7,2,1,37.87494922,296.6466265,3127234.5,optimal,TRUE,0,1,1,0,0,0
7,2,1,34.4443841,487.0906904,3077175,optimal,TRUE,0,1,0,0,1,0
7,2,2,117.3727584,418.8647141,3127922.5,optimal,FALSE,0,1,0,0,1,0
